"","timestamp","lon","lat","UTMlon","UTMlat","timediff","vLon","vLat"
"182397",2015-07-06 16:07:24,-97.737564609,30.291708282,621406.152650694,3351784.42431945,0,-9.21155442638944,3.77683532129352
"182412",2015-07-06 16:07:27,-97.737850599,30.291813277,621378.517987415,3351795.75482541,3,-6.75226813246263,1.72162637021393
"182427",2015-07-06 16:07:29,-97.737990599,30.291845696,621365.01345115,3351799.19807815,2,-9.76496815840559,0.764739812506984
"182442",2015-07-06 16:07:32,-97.738294894,30.291869331,621335.718546675,3351801.49229759,3,-11.0428007413866,0.92504873778671
"182457",2015-07-06 16:07:34,-97.73852429,30.291888236,621313.632945192,3351803.34239507,2,-11.9036705132651,1.3550531771034
"182472",2015-07-06 16:07:37,-97.738895085,30.29192849,621277.921933652,3351807.4075546,3,-12.1836543740161,0.874965399814149
"182487",2015-07-06 16:07:40,-97.739274779,30.291955833,621241.37097053,3351810.0324508,3,-11.5612152560304,1.70685817565148
"182502",2015-07-06 16:07:43,-97.739634772,30.292005504,621206.687324762,3351815.15302532,3,-11.7913098597589,0.772953666591396
"182517",2015-07-06 16:07:46,-97.740002265,30.292029966,621171.313395183,3351817.47188632,3,-10.8545923448401,1.59339908044785
"182532",2015-07-06 16:07:49,-97.740340259,30.292076352,621138.749618148,3351822.25208357,3,-16.5568999888492,0.7401823180262
"182547",2015-07-06 16:07:51,-97.740684352,30.292093021,621105.635818171,3351823.7324482,2,-6.03886703056439,0.434151416489234
"182562",2015-07-06 16:07:54,-97.740872549,30.292106584,621087.519217079,3351825.03490245,3,-7.03825575315083,1.21847034463038
"182577",2015-07-06 16:07:57,-97.741091645,30.292141675,621066.404449819,3351828.69031349,3,-4.12820575692846,2.77216168974216
"182592",2015-07-06 16:08:00,-97.741219442,30.292217945,621054.019832549,3351837.00679855,3,-4.70761670556385,4.27662080898881
"182607",2015-07-06 16:08:02,-97.741316341,30.292296054,621044.604599138,3351845.56004017,2,-5.65656257304363,8.75285149272531
"182622",2015-07-06 16:08:04,-97.74143194,30.292455122,621033.291473991,3351863.06574316,2,-5.14578256402941,13.5743628315007
"182637",2015-07-06 16:08:07,-97.741587742,30.29282407,621017.854126299,3351903.78883165,3,-5.65632181994927,13.6368423956446
"182652",2015-07-06 16:08:10,-97.741759447,30.293194862,621000.88516084,3351944.69935884,3,-5.51925839860148,13.4264056944909
"182667",2015-07-06 16:08:13,-97.741926951,30.293559917,620984.327385644,3351984.97857592,3,-6.07616236708903,12.1785053984883
"182682",2015-07-06 16:08:16,-97.742112257,30.293891363,620966.098898542,3352021.51409212,3,-22.8969865549589,16.4823104485404
